Transaction_ID,Date,Day,Time,Hour,Category,Product,Quantity,Unit_Price,Bill_Amount,Payment_Mode,Customer_Type,Discount,Final_Bill,Rating,Is_Weekend
1001,06-07-2026,Monday,11:41,11,Household,Tissue,5,60,300,UPI,Regular,0,300,4.2,No
1002,06-07-2026,Monday,14:48,14,Beverages,Coffee,3,180,540,UPI,Regular,54,486,3.8,No
1003,06-07-2026,Monday,16:39,16,Beverages,Tea,1,120,120,Card,New,0,120,3.6,No
1004,06-07-2026,Monday,09:46,9,Dairy,Butter,5,90,450,Card,Regular,0,450,3.6,No
1005,06-07-2026,Monday,14:09,14,Household,Detergent,5,220,1100,Cash,Regular,110,990,4.8,No
1006,06-07-2026,Monday,15:13,15,Beverages,Coffee,4,180,720,UPI,Regular,72,648,4.9,No
1007,06-07-2026,Monday,17:26,17,Grocery,Sugar,1,45,45,Cash,New,0,45,4.3,No
1008,06-07-2026,Monday,15:43,15,Snacks,Namkeen,3,70,210,UPI,New,0,210,4.1,No
1009,06-07-2026,Monday,16:48,16,Snacks,Namkeen,4,70,280,Card,Regular,0,280,3.6,No
1010,06-07-2026,Monday,15:00,15,Snacks,Namkeen,3,70,210,UPI,Regular,0,210,4.4,No
1011,06-07-2026,Monday,14:32,14,Snacks,Namkeen,5,70,350,Cash,Regular,0,350,3.7,No
1012,06-07-2026,Monday,14:23,14,Grocery,Flour,3,50,150,Cash,New,0,150,3.7,No
1013,06-07-2026,Monday,19:08,19,Beverages,Coffee,3,180,540,Card,Regular,54,486,4.3,No
1014,06-07-2026,Monday,09:51,9,Beverages,Coffee,5,180,900,UPI,Regular,90,810,4,No
1015,06-07-2026,Monday,16:33,16,Snacks,Biscuits,2,40,80,Card,New,0,80,3.8,No
1016,06-07-2026,Monday,14:04,14,Snacks,Namkeen,3,70,210,UPI,Regular,0,210,4.6,No
1017,06-07-2026,Monday,15:44,15,Grocery,Sugar,3,45,135,UPI,New,0,135,3.7,No
1018,06-07-2026,Monday,11:54,11,Snacks,Chips,5,30,150,UPI,Regular,0,150,4.5,No
1019,06-07-2026,Monday,14:23,14,Household,Detergent,3,220,660,UPI,New,66,594,4.8,No
1020,06-07-2026,Monday,17:50,17,Snacks,Chips,2,30,60,Card,New,0,60,3.8,No
1021,06-07-2026,Monday,16:06,16,Snacks,Chips,5,30,150,UPI,New,0,150,4,No
1022,06-07-2026,Monday,17:42,17,Grocery,Sugar,3,45,135,Card,New,0,135,3.9,No
1023,06-07-2026,Monday,20:14,20,Snacks,Biscuits,3,40,120,UPI,Regular,0,120,3.9,No
1024,06-07-2026,Monday,15:35,15,Household,Cleaner,4,180,720,Card,Regular,72,648,4.8,No
1025,06-07-2026,Monday,16:44,16,Grocery,Flour,1,50,50,UPI,Regular,0,50,4.9,No
1026,06-07-2026,Monday,14:52,14,Grocery,Flour,4,50,200,Cash,Regular,0,200,3.7,No
1027,06-07-2026,Monday,14:08,14,Dairy,Milk,2,55,110,UPI,Regular,0,110,4.8,No
1028,06-07-2026,Monday,18:17,18,Grocery,Flour,3,50,150,UPI,Regular,0,150,4.7,No
1029,06-07-2026,Monday,16:58,16,Household,Tissue,4,60,240,UPI,Regular,0,240,4.5,No
1030,06-07-2026,Monday,18:07,18,Grocery,Rice,2,60,120,Cash,Regular,0,120,3.8,No
1031,06-07-2026,Monday,14:01,14,Household,Cleaner,4,180,720,Card,Regular,72,648,3.6,No
1032,06-07-2026,Monday,16:10,16,Snacks,Namkeen,5,70,350,UPI,Regular,0,350,4.9,No
1033,06-07-2026,Monday,13:57,13,Grocery,Sugar,5,45,225,Card,Regular,0,225,4.2,No
1034,06-07-2026,Monday,17:21,17,Dairy,Butter,5,90,450,Cash,Regular,0,450,4.4,No
1035,06-07-2026,Monday,15:32,15,Grocery,Flour,5,50,250,Card,Regular,0,250,3.6,No
1036,06-07-2026,Monday,16:06,16,Grocery,Sugar,1,45,45,UPI,New,0,45,3.7,No
1037,06-07-2026,Monday,21:45,21,Beverages,Juice,1,80,80,UPI,Regular,0,80,4.3,No
1038,06-07-2026,Monday,14:54,14,Dairy,Butter,1,90,90,UPI,New,0,90,4.7,No
1039,06-07-2026,Monday,17:07,17,Beverages,Tea,2,120,240,UPI,Regular,0,240,4.6,No
1040,06-07-2026,Monday,15:24,15,Grocery,Sugar,1,45,45,UPI,Regular,0,45,4,No
1041,06-07-2026,Monday,16:23,16,Snacks,Namkeen,1,70,70,UPI,Regular,0,70,4.9,No
1042,06-07-2026,Monday,20:39,20,Household,Detergent,5,220,1100,Card,New,110,990,4.2,No
1043,06-07-2026,Monday,15:44,15,Grocery,Rice,4,60,240,Card,New,0,240,4.3,No
1044,06-07-2026,Monday,15:57,15,Grocery,Rice,5,60,300,UPI,Regular,0,300,5,No
1045,06-07-2026,Monday,16:57,16,Grocery,Rice,3,60,180,UPI,Regular,0,180,4.4,No
1046,06-07-2026,Monday,16:26,16,Grocery,Sugar,3,45,135,UPI,Regular,0,135,4.2,No
1047,06-07-2026,Monday,11:15,11,Dairy,Cheese,1,140,140,Card,Regular,0,140,4.6,No
1048,06-07-2026,Monday,14:46,14,Grocery,Sugar,2,45,90,UPI,Regular,0,90,3.7,No
1049,06-07-2026,Monday,18:35,18,Grocery,Flour,3,50,150,Cash,Regular,0,150,4.8,No
1050,06-07-2026,Monday,09:54,9,Dairy,Milk,4,55,220,UPI,Regular,0,220,3.9,No
1051,06-07-2026,Monday,16:39,16,Beverages,Tea,3,120,360,UPI,New,0,360,4.5,No
